age,overall,potential,pace,shooting,passing,dribbling,defending,physic,position,nationality,value_eur
24,85,88,58.0,81.0,89.0,84.0,58.0,69.0,"CM, CDM, CAM",Germany,23000000.0
25,85,86,77.0,50.0,66.0,69.0,83.0,82.0,"CB, RB",Germany,21000000.0
25,85,89,56.0,59.0,78.0,75.0,81.0,81.0,"CDM, CM",Spain,20000000.0
22,85,91,80.0,74.0,82.0,89.0,35.0,63.0,"CAM, CF, CM, RM",Germany,21000000.0
35,84,84,43.0,69.0,91.0,82.0,55.0,59.0,"CM, CDM",Italy,6000000.0
32,84,84,55.0,71.0,86.0,68.0,78.0,72.0,"CDM, CM",Spain,11500000.0
30,84,84,68.0,71.0,79.0,75.0,82.0,84.0,CDM,Italy,14500000.0
29,84,84,76.0,51.0,55.0,56.0,87.0,86.0,CB,Italy,17500000.0
30,84,84,75.0,80.0,87.0,84.0,48.0,63.0,"CAM, CM, LM",Netherlands,21000000.0
27,84,88,76.0,74.0,83.0,86.0,61.0,72.0,"LM, RM, CAM",Turkey,23000000.0
29,84,84,73.0,78.0,85.0,87.0,31.0,61.0,"LM, CAM, RM",Spain,20000000.0
30,84,84,68.0,85.0,64.0,72.0,32.0,73.0,ST,Netherlands,21000000.0
27,84,89,66.0,54.0,69.0,60.0,86.0,76.0,CB,Spain,20500000.0
27,84,84,68.0,79.0,88.0,81.0,64.0,63.0,"CM, CAM",Spain,23000000.0
27,84,86,79.0,76.0,84.0,86.0,39.0,60.0,"LM, RM",France,23000000.0
26,84,85,81.0,84.0,68.0,80.0,30.0,71.0,ST,Argentina,27000000.0
27,84,86,75.0,45.0,54.0,64.0,88.0,84.0,CB,Morocco,20500000.0
27,84,86,56.0,69.0,74.0,65.0,83.0,86.0,"CDM, CM",Germany,19500000.0
28,84,84,67.0,48.0,62.0,60.0,86.0,78.0,CB,Uruguay,19000000.0
25,84,88,88.0,81.0,75.0,87.0,39.0,66.0,"RW, ST",Chile,26500000.0
22,84,87,81.0,75.0,80.0,85.0,43.0,44.0,"CAM, RM",Brazil,21000000.0
33,83,83,41.0,47.0,56.0,52.0,84.0,80.0,CB,England,7000000.0
29,83,83,31.0,41.0,57.0,48.0,87.0,76.0,CB,Germany,12500000.0
30,83,83,53.0,50.0,77.0,71.0,79.0,82.0,"CDM, CM",France,10500000.0
31,83,83,73.0,51.0,58.0,59.0,84.0,83.0,"CB, CDM",Portugal,10000000.0
33,83,83,75.0,36.0,58.0,59.0,86.0,79.0,CB,Italy,7000000.0
32,83,83,52.0,39.0,55.0,51.0,84.0,83.0,CB,Serbia,9000000.0
30,83,83,69.0,59.0,70.0,69.0,84.0,80.0,CB,Argentina,11500000.0
28,83,83,73.0,83.0,68.0,77.0,39.0,82.0,ST,Spain,17000000.0
31,83,83,86.0,70.0,79.0,83.0,76.0,68.0,RB,Brazil,10000000.0
28,83,83,91.0,71.0,78.0,84.0,29.0,53.0,RM,Spain,15500000.0
29,83,83,87.0,77.0,80.0,84.0,37.0,76.0,RM,Peru,14500000.0
27,83,83,74.0,75.0,83.0,82.0,71.0,72.0,"CM, CAM",Portugal,16500000.0
29,83,83,76.0,49.0,56.0,57.0,84.0,79.0,CB,Brazil,12500000.0
26,83,84,69.0,82.0,87.0,81.0,55.0,67.0,"CAM, CM",Croatia,19500000.0
27,83,85,52.0,57.0,68.0,64.0,86.0,78.0,CB,Argentina,14500000.0
27,83,85,78.0,67.0,76.0,76.0,84.0,82.0,"CDM, CM",France,14000000.0
24,83,86,89.0,82.0,69.0,81.0,29.0,70.0,"ST, RW",England,18500000.0
28,83,83,79.0,76.0,81.0,83.0,74.0,79.0,"CM, CDM, CAM",Italy,15500000.0
27,83,84,85.0,79.0,82.0,84.0,57.0,74.0,RW,Italy,18500000.0
24,83,86,72.0,75.0,85.0,84.0,63.0,66.0,CM,Bosnia and Herzegovina,16500000.0
28,83,83,71.0,84.0,68.0,78.0,36.0,71.0,ST,Bosnia and Herzegovina,17000000.0
28,83,83,75.0,82.0,61.0,75.0,43.0,87.0,ST,Croatia,17000000.0
23,83,86,71.0,78.0,79.0,80.0,70.0,77.0,"CM, CDM",Wales,15000000.0
23,83,87,79.0,70.0,83.0,86.0,67.0,70.0,"CM, CDM, CAM",Germany,15000000.0
25,83,83,82.0,73.0,76.0,88.0,32.0,49.0,"CAM, LM, CM",Japan,19000000.0
27,83,83,85.0,87.0,80.0,81.0,43.0,86.0,"RW, ST, RM",Brazil,18500000.0
26,83,86,83.0,76.0,78.0,84.0,37.0,60.0,"LW, RW",Spain,18000000.0
26,83,87,93.0,77.0,76.0,87.0,57.0,71.0,"RM, LM",Colombia,18000000.0
21,83,89,76.0,78.0,79.0,83.0,73.0,88.0,"CM, CAM",France,13500000.0
22,83,88,76.0,76.0,82.0,86.0,32.0,62.0,"CAM, CM, LM, CDM",Spain,15000000.0
34,82,82,63.0,83.0,85.0,75.0,70.0,81.0,"CDM, CM",England,3900000.0
30,82,82,85.0,76.0,81.0,84.0,33.0,56.0,"LW, CAM",Portugal,13500000.0
31,82,82,50.0,66.0,78.0,73.0,79.0,84.0,"CDM, CM",Italy,9500000.0
32,82,82,54.0,64.0,53.0,55.0,84.0,83.0,CB,Brazil,9000000.0
29,82,82,75.0,73.0,84.0,85.0,39.0,64.0,"CAM, LM, RM",Brazil,16000000.0
29,82,82,74.0,52.0,74.0,75.0,83.0,82.0,RB,Argentina,12500000.0
30,82,82,68.0,72.0,80.0,76.0,75.0,73.0,"CM, CDM",Spain,13500000.0
28,82,82,75.0,82.0,60.0,70.0,30.0,79.0,ST,Germany,17000000.0
32,82,82,85.0,82.0,77.0,84.0,31.0,60.0,ST,Argentina,13000000.0
30,82,82,64.0,56.0,72.0,71.0,83.0,76.0,CB,Brazil,11500000.0
29,82,82,87.0,76.0,75.0,85.0,32.0,73.0,"LW, ST",Argentina,14500000.0
29,82,82,71.0,74.0,85.0,81.0,65.0,67.0,CM,Spain,14500000.0
27,82,84,83.0,83.0,74.0,84.0,29.0,52.0,ST,Italy,18500000.0
29,82,82,77.0,74.0,81.0,77.0,80.0,74.0,LB,England,12500000.0
28,82,82,82.0,62.0,76.0,78.0,81.0,77.0,LB,Brazil,13500000.0
28,82,82,87.0,74.0,79.0,83.0,58.0,72.0,RM,Poland,15500000.0
25,82,87,86.0,77.0,74.0,85.0,30.0,65.0,"RW, CAM, ST",Mexico,19000000.0
26,82,86,73.0,77.0,81.0,81.0,58.0,70.0,CAM,Slovakia,19500000.0
27,82,84,72.0,67.0,74.0,69.0,82.0,81.0,"CB, LB",Belgium,14500000.0
26,82,84,78.0,52.0,61.0,65.0,84.0,82.0,"CB, RB",Greece,16000000.0
29,82,82,81.0,67.0,73.0,74.0,81.0,82.0,RB,Poland,12500000.0
27,82,85,88.0,77.0,80.0,87.0,37.0,53.0,CAM,Belgium,18500000.0
26,82,85,81.0,67.0,78.0,84.0,77.0,79.0,LB,Brazil,16000000.0
26,82,84,66.0,50.0,65.0,65.0,83.0,78.0,"CB, RB, LB",Germany,16000000.0
27,82,83,77.0,64.0,72.0,72.0,80.0,78.0,CB,Brazil,14500000.0
25,82,84,89.0,73.0,78.0,87.0,51.0,63.0,"RM, CAM",Brazil,17000000.0
29,82,82,71.0,81.0,83.0,85.0,63.0,73.0,"CM, CAM",Brazil,14500000.0
25,82,84,71.0,57.0,58.0,57.0,83.0,79.0,CB,Serbia,15000000.0
26,82,84,83.0,74.0,81.0,86.0,38.0,57.0,LM,Argentina,18000000.0
26,82,83,72.0,58.0,72.0,72.0,83.0,82.0,CDM,Brazil,15000000.0
23,82,86,82.0,82.0,68.0,81.0,30.0,79.0,ST,Italy,16500000.0
26,82,84,93.0,82.0,68.0,82.0,38.0,73.0,ST,Côte d'Ivoire,19500000.0
22,82,88,81.0,72.0,83.0,83.0,47.0,55.0,"CAM, LM",Denmark,15000000.0
25,82,85,67.0,70.0,76.0,75.0,80.0,85.0,"CDM, CM",Serbia,14500000.0
22,82,85,75.0,72.0,85.0,81.0,53.0,73.0,"LM, RM, CM",Spain,13500000.0
23,82,88,85.0,77.0,76.0,83.0,30.0,68.0,"LW, LM",France,15000000.0
27,82,85,82.0,81.0,66.0,78.0,43.0,85.0,ST,Colombia,18500000.0
22,82,87,86.0,70.0,81.0,82.0,79.0,72.0,"LB, CM, CDM, LM",Austria,11500000.0
21,82,87,93.0,73.0,76.0,87.0,44.0,63.0,"RW, RM",Brazil,15000000.0
33,81,81,76.0,81.0,71.0,82.0,37.0,72.0,ST,Cameroon,7500000.0
36,81,81,70.0,77.0,63.0,73.0,32.0,63.0,ST,Germany,1300000.0
33,81,81,64.0,82.0,80.0,80.0,32.0,62.0,"ST, CAM",Bulgaria,7500000.0
36,81,81,67.0,83.0,75.0,75.0,36.0,78.0,ST,Côte d'Ivoire,1300000.0
33,81,81,73.0,55.0,71.0,74.0,80.0,75.0,LB,England,4900000.0
31,81,81,53.0,78.0,81.0,81.0,37.0,63.0,"CAM, CF, CM",Netherlands,10000000.0
30,81,81,78.0,79.0,71.0,80.0,32.0,70.0,ST,Spain,10500000.0
29,81,81,71.0,51.0,72.0,72.0,78.0,82.0,"CDM, CM",Netherlands,8500000.0
31,81,81,77.0,71.0,76.0,75.0,80.0,86.0,"CDM, CM",Brazil,6500000.0
29,81,81,78.0,74.0,80.0,81.0,73.0,76.0,"CM, CDM",Brazil,10500000.0
30,81,81,66.0,83.0,71.0,69.0,45.0,80.0,ST,Germany,10500000.0
27,81,82,84.0,79.0,79.0,86.0,27.0,64.0,"RM, LM",Portugal,12000000.0
29,81,81,76.0,81.0,68.0,76.0,42.0,75.0,ST,Spain,11500000.0
33,81,81,39.0,53.0,59.0,53.0,84.0,75.0,CB,Brazil,4900000.0
29,81,81,73.0,65.0,66.0,61.0,83.0,77.0,CB,Denmark,9000000.0
31,81,81,73.0,80.0,75.0,82.0,42.0,75.0,"CF, CAM, ST",United States,10000000.0
29,81,81,60.0,71.0,83.0,76.0,68.0,73.0,"CM, CDM",Italy,10500000.0
29,81,81,61.0,79.0,57.0,74.0,35.0,85.0,ST,Spain,11500000.0
29,81,81,80.0,72.0,82.0,86.0,42.0,55.0,CAM,Morocco,11500000.0
28,81,81,74.0,58.0,52.0,62.0,84.0,76.0,CB,England,9500000.0
25,81,85,96.0,77.0,75.0,81.0,33.0,64.0,RM,England,12000000.0
28,81,81,81.0,40.0,62.0,65.0,83.0,75.0,CB,France,9500000.0
29,81,81,63.0,38.0,48.0,54.0,82.0,82.0,CB,Slovakia,9000000.0
28,81,81,68.0,75.0,82.0,78.0,71.0,73.0,"CM, CAM, CDM",France,11000000.0
25,81,84,86.0,81.0,69.0,88.0,29.0,55.0,"ST, CF, LW, RW",Mexico,13500000.0
27,81,83,93.0,69.0,72.0,83.0,40.0,64.0,"LW, RW",Côte d'Ivoire,12000000.0
25,81,84,55.0,69.0,84.0,82.0,67.0,59.0,"CM, CDM",Turkey,12000000.0
27,81,84,71.0,39.0,50.0,57.0,84.0,81.0,CB,Brazil,10500000.0
29,81,81,86.0,73.0,80.0,83.0,33.0,50.0,"CAM, RW",France,11500000.0
25,81,84,68.0,65.0,75.0,73.0,81.0,81.0,"CM, CDM",Germany,12000000.0
25,81,83,66.0,56.0,68.0,66.0,85.0,82.0,CDM,Germany,10500000.0
26,81,83,86.0,80.0,64.0,76.0,31.0,63.0,ST,Mexico,14000000.0
30,81,81,67.0,60.0,63.0,60.0,86.0,83.0,"RB, CB",Serbia,8000000.0
24,81,84,78.0,82.0,78.0,83.0,38.0,70.0,"ST, CF",Montenegro,13000000.0
24,81,83,68.0,33.0,60.0,57.0,80.0,83.0,CB,France,10500000.0
24,81,88,84.0,73.0,75.0,86.0,41.0,63.0,"RM, RW",Algeria,12000000.0
27,81,82,88.0,69.0,77.0,82.0,79.0,73.0,"CDM, CM",Brazil,10000000.0
22,81,86,81.0,68.0,81.0,87.0,33.0,50.0,"CAM, LW, CM",Brazil,10500000.0
25,81,85,92.0,69.0,75.0,81.0,78.0,76.0,LB,Spain,11000000.0
22,81,85,76.0,69.0,81.0,84.0,61.0,77.0,"CM, CDM, LM",England,9500000.0
23,81,86,72.0,72.0,79.0,87.0,57.0,65.0,"CM, CAM, CDM",Spain,10500000.0
25,81,84,67.0,66.0,77.0,72.0,77.0,80.0,"CDM, CM",Spain,10500000.0
24,81,85,67.0,72.0,79.0,76.0,75.0,83.0,CM,Netherlands,12000000.0
25,81,84,73.0,82.0,59.0,74.0,39.0,85.0,ST,Côte d'Ivoire,13500000.0
25,81,85,86.0,75.0,77.0,85.0,54.0,71.0,"CAM, LM, RM",Armenia,13500000.0
23,81,86,77.0,80.0,80.0,82.0,41.0,69.0,"CAM, LM, RM",Belgium,12000000.0
23,81,84,88.0,83.0,75.0,83.0,37.0,67.0,"LM, RM",Germany,10500000.0
21,81,88,76.0,45.0,60.0,62.0,83.0,76.0,CB,France,8000000.0
22,81,85,77.0,77.0,77.0,85.0,33.0,67.0,"CAM, CF",Brazil,10500000.0
27,81,81,81.0,82.0,63.0,80.0,31.0,69.0,ST,Colombia,13000000.0
20,81,88,67.0,29.0,56.0,55.0,83.0,80.0,"CB, LB",France,8000000.0
37,80,80,40.0,84.0,87.0,81.0,26.0,68.0,"CF, ST",Italy,1200000.0
33,80,80,63.0,67.0,78.0,73.0,69.0,77.0,"CM, CDM",Portugal,6500000.0
33,80,80,48.0,68.0,81.0,69.0,80.0,78.0,CDM,England,4300000.0
31,80,80,54.0,78.0,87.0,85.0,28.0,60.0,CF,Italy,10000000.0
33,80,80,74.0,70.0,81.0,84.0,43.0,67.0,"CAM, RM",Czech Republic,7500000.0
30,80,80,84.0,74.0,77.0,85.0,27.0,64.0,"RW, LW",Portugal,10500000.0
34,80,80,53.0,72.0,85.0,85.0,29.0,61.0,CAM,Brazil,6000000.0
32,80,80,43.0,72.0,83.0,79.0,74.0,66.0,CDM,Spain,6000000.0
31,80,80,84.0,85.0,61.0,78.0,29.0,66.0,ST,England,10000000.0
33,80,80,79.0,51.0,71.0,77.0,79.0,78.0,"LB, LM",France,4900000.0
30,80,80,73.0,79.0,67.0,77.0,31.0,77.0,ST,Togo,10500000.0
32,80,80,78.0,63.0,75.0,77.0,79.0,79.0,RB,Spain,6500000.0
33,80,80,67.0,81.0,64.0,71.0,46.0,78.0,ST,Spain,7500000.0
30,80,80,76.0,64.0,66.0,55.0,82.0,81.0,"CB, LB, LM",France,8000000.0
32,80,80,73.0,83.0,72.0,82.0,32.0,64.0,"ST, LW, LM",Spain,9000000.0
32,80,80,64.0,60.0,60.0,64.0,80.0,84.0,CB,Portugal,6500000.0
29,80,80,74.0,79.0,78.0,85.0,41.0,68.0,"CF, ST, CAM",Brazil,11500000.0
30,80,80,76.0,67.0,75.0,76.0,80.0,75.0,CDM,Russia,7500000.0
30,80,80,66.0,52.0,75.0,73.0,78.0,77.0,CDM,France,7500000.0
28,80,80,85.0,42.0,70.0,78.0,80.0,68.0,LB,France,9500000.0
28,80,80,61.0,46.0,60.0,59.0,83.0,76.0,CB,Spain,9500000.0
26,80,80,71.0,59.0,70.0,70.0,78.0,83.0,"CDM, CM",Cameroon,10500000.0
28,80,80,76.0,65.0,73.0,74.0,78.0,78.0,RB,France,9500000.0
28,80,80,71.0,64.0,69.0,67.0,83.0,76.0,CB,France,9500000.0
26,80,82,79.0,71.0,75.0,84.0,69.0,83.0,"CM, CDM, CAM",Belgium,12500000.0
31,80,80,74.0,56.0,71.0,75.0,81.0,78.0,RB,France,7500000.0
27,80,82,77.0,69.0,79.0,81.0,74.0,68.0,"CM, RM, RB, CF",Germany,12000000.0
28,80,80,85.0,67.0,77.0,79.0,47.0,75.0,"RM, RWB",Ecuador,11000000.0
31,80,80,73.0,56.0,61.0,57.0,82.0,74.0,CB,Brazil,7500000.0
26,80,81,88.0,77.0,77.0,83.0,47.0,63.0,RM,Belgium,12500000.0
27,80,82,77.0,80.0,78.0,81.0,70.0,84.0,"CM, CAM, CDM, ST",Ghana,12000000.0
29,80,80,77.0,81.0,67.0,77.0,45.0,79.0,ST,Senegal,11500000.0
24,80,84,68.0,63.0,71.0,72.0,78.0,81.0,"CDM, CM",France,10000000.0
25,80,85,71.0,73.0,77.0,83.0,74.0,80.0,"CM, CDM",Belgium,12000000.0
27,80,82,67.0,79.0,83.0,75.0,68.0,74.0,"CM, CDM",Spain,12000000.0
26,80,83,90.0,79.0,74.0,81.0,34.0,63.0,"RW, CF, RM",Germany,14000000.0
26,80,82,87.0,78.0,81.0,83.0,34.0,74.0,"CF, RW",Italy,14000000.0
26,80,85,68.0,70.0,83.0,82.0,65.0,70.0,"CM, CDM",Argentina,12500000.0
27,80,82,90.0,80.0,68.0,74.0,34.0,71.0,"ST, LW",France,13000000.0
25,80,81,66.0,44.0,62.0,53.0,82.0,78.0,CB,Denmark,11000000.0
27,80,80,44.0,42.0,60.0,54.0,81.0,82.0,CB,Argentina,10500000.0
29,80,80,70.0,60.0,65.0,63.0,79.0,81.0,CB,Cameroon,9000000.0
23,80,85,80.0,81.0,64.0,74.0,33.0,85.0,ST,Belgium,12000000.0
27,80,83,90.0,78.0,72.0,82.0,29.0,62.0,"CAM, RM",Spain,13000000.0
25,80,83,78.0,80.0,71.0,71.0,33.0,84.0,ST,Russia,13500000.0
25,80,85,77.0,75.0,73.0,77.0,80.0,78.0,"CM, CDM",Brazil,12000000.0
29,80,80,64.0,76.0,83.0,79.0,68.0,75.0,CM,Argentina,10500000.0
24,80,83,80.0,80.0,56.0,74.0,32.0,80.0,ST,Venezuela,13000000.0
26,80,85,85.0,74.0,79.0,80.0,32.0,68.0,"RW, RM",Spain,14000000.0
25,80,86,61.0,71.0,86.0,78.0,58.0,68.0,"CM, CAM",Spain,12000000.0
21,80,85,87.0,73.0,71.0,85.0,37.0,63.0,"LW, CAM",Spain,9500000.0
23,80,84,85.0,73.0,78.0,85.0,51.0,62.0,"CAM, RW",Brazil,12000000.0
23,80,86,76.0,40.0,59.0,63.0,79.0,85.0,CB,France,9000000.0
21,80,87,87.0,76.0,72.0,84.0,33.0,60.0,LW,Italy,9500000.0
26,80,84,66.0,51.0,55.0,62.0,84.0,76.0,CB,Argentina,11000000.0
24,80,85,78.0,80.0,60.0,76.0,32.0,78.0,ST,Italy,13000000.0
21,80,86,84.0,80.0,65.0,75.0,30.0,81.0,ST,Belgium,10500000.0
31,80,80,62.0,55.0,59.0,56.0,81.0,78.0,CB,Montenegro,7500000.0
25,80,84,59.0,50.0,71.0,54.0,80.0,74.0,"CB, LB",Germany,11000000.0
25,80,84,67.0,59.0,72.0,72.0,80.0,83.0,"CDM, CB",France,10500000.0
22,80,85,88.0,78.0,76.0,86.0,57.0,74.0,"RM, LM, CAM",Switzerland,9500000.0
21,80,84,76.0,52.0,76.0,76.0,79.0,76.0,LB,Switzerland,8000000.0
24,80,82,63.0,39.0,59.0,63.0,81.0,82.0,CB,Croatia,10500000.0
28,80,80,80.0,73.0,78.0,82.0,75.0,80.0,"CM, RM",Argentina,11000000.0
23,80,86,86.0,80.0,69.0,79.0,33.0,71.0,"ST, CF, RW, LW",Spain,12000000.0
25,80,82,74.0,69.0,80.0,82.0,36.0,67.0,"CAM, LW, LM",Serbia,13500000.0
21,80,86,70.0,55.0,80.0,84.0,73.0,67.0,"CM, CDM",Italy,9500000.0
27,80,84,88.0,80.0,56.0,76.0,28.0,83.0,"ST, RW",Nigeria,13000000.0
20,80,85,78.0,78.0,78.0,84.0,34.0,61.0,"LM, CAM, RM",Germany,9500000.0
19,80,86,93.0,69.0,70.0,84.0,46.0,62.0,"RW, LW, CAM",England,10000000.0
23,80,86,76.0,54.0,54.0,59.0,82.0,80.0,CB,Spain,9000000.0
21,80,86,90.0,71.0,76.0,85.0,37.0,39.0,CAM,Brazil,10500000.0
33,79,79,68.0,81.0,73.0,82.0,31.0,68.0,"ST, CF",Republic of Ireland,5000000.0
36,79,79,41.0,84.0,82.0,76.0,62.0,71.0,"CM, CDM",England,110000.0
35,79,79,59.0,42.0,61.0,60.0,81.0,67.0,CB,England,1200000.0
32,79,79,82.0,73.0,78.0,77.0,43.0,66.0,"LM, ST",United States,5500000.0
32,79,79,60.0,69.0,79.0,72.0,75.0,68.0,"CM, CDM",England,5500000.0
35,79,79,55.0,79.0,69.0,78.0,32.0,71.0,"ST, CAM",Peru,3000000.0
32,79,79,69.0,52.0,64.0,64.0,79.0,77.0,CB,Argentina,4500000.0
32,79,79,73.0,72.0,80.0,84.0,52.0,67.0,LM,South Africa,5500000.0
31,79,79,68.0,46.0,58.0,55.0,81.0,81.0,CB,England,5000000.0
29,79,79,56.0,74.0,82.0,78.0,65.0,69.0,"CM, CDM",Italy,7000000.0
30,79,79,32.0,31.0,46.0,42.0,81.0,79.0,CB,England,5500000.0
33,79,79,33.0,41.0,58.0,54.0,80.0,72.0,CB,Argentina,3400000.0
32,79,79,78.0,71.0,79.0,78.0,76.0,80.0,RB,Brazil,4500000.0
31,79,79,54.0,50.0,57.0,58.0,81.0,79.0,CB,England,5000000.0
32,79,79,72.0,72.0,84.0,74.0,76.0,76.0,RB,Croatia,4500000.0
30,79,79,67.0,50.0,64.0,64.0,81.0,76.0,CB,Argentina,5500000.0
30,79,79,63.0,75.0,82.0,78.0,35.0,61.0,"CAM, RW",Spain,7500000.0
31,79,79,73.0,60.0,71.0,61.0,79.0,78.0,"RB, LB",Spain,5000000.0
29,79,79,83.0,59.0,73.0,79.0,76.0,78.0,"RB, RM, LB",Spain,6000000.0
34,79,79,80.0,79.0,67.0,76.0,36.0,82.0,ST,Croatia,4100000.0
31,79,79,71.0,76.0,80.0,77.0,68.0,77.0,"CM, CDM",Portugal,6000000.0
27,79,79,92.0,63.0,73.0,83.0,27.0,60.0,"RM, LM",England,8000000.0
27,79,81,77.0,73.0,80.0,80.0,55.0,71.0,"CAM, LM",Finland,9000000.0
28,79,79,71.0,63.0,69.0,63.0,80.0,77.0,"CB, LB",Belgium,6500000.0
28,79,79,82.0,74.0,81.0,82.0,70.0,73.0,"CM, CDM, CAM",Portugal,7500000.0
30,79,79,67.0,72.0,77.0,73.0,75.0,77.0,"CDM, CM",Switzerland,5000000.0
27,79,80,63.0,66.0,74.0,67.0,81.0,86.0,"CDM, CM, CB",Spain,7000000.0
29,79,79,75.0,65.0,75.0,76.0,78.0,82.0,"CDM, CM",Switzerland,6000000.0
29,79,79,66.0,80.0,61.0,72.0,31.0,69.0,ST,Bosnia and Herzegovina,8000000.0
28,79,79,74.0,43.0,57.0,57.0,79.0,82.0,CB,France,6500000.0
29,79,79,78.0,53.0,72.0,75.0,80.0,68.0,"CDM, CM",France,6000000.0
29,79,79,70.0,42.0,57.0,61.0,79.0,82.0,CB,Wales,6000000.0
26,79,82,65.0,71.0,82.0,70.0,72.0,75.0,CDM,Sweden,7500000.0
32,79,79,68.0,78.0,80.0,74.0,70.0,71.0,"CM, CAM",Russia,5500000.0
23,79,84,74.0,38.0,60.0,61.0,81.0,79.0,CB,Turkey,6500000.0
29,79,79,61.0,59.0,60.0,59.0,81.0,82.0,CB,Netherlands,6000000.0
28,79,79,79.0,78.0,78.0,81.0,68.0,85.0,"CM, CAM",Colombia,7500000.0
26,79,82,74.0,31.0,58.0,51.0,81.0,74.0,CB,Northern Ireland,8000000.0
28,79,79,79.0,76.0,78.0,78.0,51.0,80.0,LM,Uruguay,7500000.0
27,79,83,63.0,68.0,77.0,72.0,78.0,81.0,"CM, CDM",Spain,8000000.0
27,79,79,72.0,74.0,80.0,77.0,65.0,80.0,"RM, CAM, ST",Spain,8000000.0
26,79,82,80.0,65.0,73.0,79.0,75.0,76.0,LB,Portugal,8000000.0
28,79,79,69.0,44.0,59.0,50.0,80.0,82.0,CB,Spain,6500000.0
27,79,79,60.0,40.0,71.0,72.0,79.0,76.0,"CDM, CM",Brazil,7000000.0
27,79,83,80.0,79.0,74.0,76.0,34.0,65.0,ST,France,9000000.0
28,79,79,86.0,76.0,68.0,77.0,37.0,73.0,ST,Colombia,8500000.0
30,79,79,77.0,80.0,71.0,81.0,32.0,64.0,"ST, CAM",Brazil,7500000.0
26,79,80,64.0,71.0,73.0,71.0,75.0,88.0,"CDM, CM",Belgium,7500000.0
